"","58","50","44","39","35","27","32","25","23","20","21","15","13","11","9","6","4"
"H1_Exp1.001","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-3","mc4-6"
"H1_Exp1.002","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-5","mc20-9","mc21-11","mc15-16","mc13-2","mc11-2","mc9-8",NA,NA
"H1_Exp1.003","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-3","mc4-5"
"H1_Exp1.004","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-19","mc13-8","mc11-7","mc9-1","mc6-2",NA
"H1_Exp1.006","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-1","mc6-4","mc4-4"
"H1_Exp1.007","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-4","mc4-7"
"H1_Exp1.008","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-14",NA,NA,NA,NA,NA
"H1_Exp1.009","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-7","mc23-3","mc20-9","mc21-10","mc15-21","mc13-2","mc11-7",NA,NA,NA
"H1_Exp1.010","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-3","mc4-6"
"H1_Exp1.011","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-7","mc9-1","mc6-9","mc4-2"
"H1_Exp1.012","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-19","mc13-8","mc11-2","mc9-6","mc6-2",NA
"H1_Exp1.014","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-1","mc6-4","mc4-4"
"H1_Exp1.015","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-7","mc4-3"
"H1_Exp1.016","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-7"
"H1_Exp1.017","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-4","mc4-4"
"H1_Exp1.018","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-3","mc4-6"
"H1_Exp1.019","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-4","mc4-4"
"H1_Exp1.020","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-5","mc4-4"
"H1_Exp1.021","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-20","mc13-6","mc11-8","mc9-8",NA,NA
"H1_Exp1.022","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-5","mc11-5","mc9-9","mc6-1",NA
"H1_Exp1.023","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-7","mc6-1","mc4-3"
"H1_Exp1.024","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-7","mc6-1","mc4-4"
"H1_Exp1.025","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-6","mc20-11","mc21-10","mc15-21","mc13-2","mc11-3",NA,NA,NA
"H1_Exp1.026","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-20","mc13-5","mc11-7","mc9-1","mc6-9","mc4-2"
"H1_Exp1.027","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18",NA,NA,NA,NA,NA
"H1_Exp1.029","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-6","mc6-3",NA
"H1_Exp1.030","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-12","mc15-13",NA,NA,NA,NA,NA
"H1_Exp1.031","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-15","mc15-19",NA,NA,NA,NA,NA
"H1_Exp1.032","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-4","mc20-12","mc21-8","mc15-17",NA,NA,NA,NA,NA
"H1_Exp1.033","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-3","mc9-2","mc6-8",NA
"H1_Exp1.035","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-4","mc4-4"
"H1_Exp1.036","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-15","mc15-19",NA,NA,NA,NA,NA
"H1_Exp1.038","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-7","mc6-1","mc4-3"
"H1_Exp1.039","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-2","mc6-8","mc4-1"
"H1_Exp1.040","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-4","mc6-3",NA
"H1_Exp1.041","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-7"
"H1_Exp1.042","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-5","mc9-7","mc6-1","mc4-3"
"H1_Exp1.043","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-2","mc9-7","mc6-6",NA
"H1_Exp1.044","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-2","mc9-6","mc6-2",NA
"H1_Exp1.045","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-8"
"H1_Exp1.047","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-15","mc15-19","mc13-8","mc11-4","mc9-6",NA,NA
"H1_Exp1.048","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-6","mc9-7","mc6-1",NA
"H1_Exp1.049","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-7","mc4-5"
"H1_Exp1.050","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-6",NA,NA
"H1_Exp1.051","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-3","mc6-5","mc4-8"
"H1_Exp1.052","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-6","mc6-8","mc4-5"
"H1_Exp1.053","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-8","mc15-17","mc13-2","mc11-5","mc9-9",NA,NA
"H1_Exp1.054","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-5","mc9-4","mc6-5",NA
"H1_Exp1.055","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-19","mc13-8","mc11-7","mc9-1","mc6-2","mc4-7"
"H1_Exp1.057","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-15","mc15-19","mc13-8","mc11-5","mc9-2",NA,NA
"H1_Exp1.058","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-7","mc25-9","mc23-2","mc20-10","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp1.060","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-6","mc9-7","mc6-1",NA
"H1_Exp1.061","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-4"
"H1_Exp1.062","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-7","mc6-1","mc4-3"
"H1_Exp1.063","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-18","mc13-7","mc11-5","mc9-9",NA,NA
"H1_Exp1.064","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-7"
"H1_Exp1.065","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-20","mc13-6","mc11-8","mc9-7","mc6-1",NA
"H1_Exp1.066","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-19","mc13-8","mc11-1","mc9-2","mc6-8","mc4-1"
"H1_Exp1.068","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-4","mc20-12","mc21-8","mc15-11","mc13-5",NA,NA,NA,NA
"H1_Exp1.070","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-6","mc11-5","mc9-9","mc6-1",NA
"H1_Exp2.073","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-5","mc4-10"
"H1_Exp2.074","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-9","mc23-2","mc20-11","mc21-10","mc15-21","mc13-5","mc11-5","mc9-9",NA,NA
"H1_Exp2.075","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-2","mc20-14","mc21-13","mc15-16","mc13-6","mc11-8","mc9-3","mc6-10","mc4-10"
"H1_Exp2.076","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-5","mc4-10"
"H1_Exp2.077","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-9","mc23-3","mc20-14","mc21-12","mc15-11","mc13-6",NA,NA,NA,NA
"H1_Exp2.078","mc58-6","mc50-2","mc44-4","mc39-9","mc35-3","mc27-8","mc32-7","mc25-9","mc23-3","mc20-10","mc21-12","mc15-11","mc13-5","mc11-7","mc9-1",NA,NA
"H1_Exp2.079","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-12","mc15-15","mc13-4",NA,NA,NA,NA
"H1_Exp2.080","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-5",NA
"H1_Exp2.081","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-15","mc15-20","mc13-5","mc11-3","mc9-9","mc6-4",NA
"H1_Exp2.082","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-13","mc23-7",NA,NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.083","mc58-6","mc50-1","mc44-4","mc39-6","mc35-3","mc27-13","mc32-9","mc25-9","mc23-2","mc20-11","mc21-10","mc15-21","mc13-5","mc11-3","mc9-3",NA,NA
"H1_Exp2.084","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-9","mc23-2","mc20-11","mc21-13","mc15-16","mc13-6","mc11-8","mc9-3","mc6-10",NA
"H1_Exp2.085","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-11","mc21-10","mc15-21","mc13-4","mc11-3",NA,NA,NA
"H1_Exp2.086","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-6","mc4-8"
"H1_Exp2.087","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-9"
"H1_Exp2.088","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-14","mc23-1","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3",NA,NA
"H1_Exp2.089","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-6","mc25-8","mc23-2","mc20-11","mc21-13","mc15-16","mc13-6","mc11-8","mc9-3","mc6-5","mc4-4"
"H1_Exp2.090","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-9"
"H1_Exp2.091","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-8","mc32-7","mc25-9","mc23-2","mc20-10","mc21-15","mc15-19","mc13-5","mc11-3",NA,NA,NA
"H1_Exp2.092","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-9"
"H1_Exp2.093","mc58-6","mc50-2","mc44-3","mc39-8","mc35-4","mc27-7","mc32-8","mc25-13","mc23-7","mc20-13","mc21-8",NA,NA,NA,NA,NA,NA
"H1_Exp2.094","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-9","mc21-15","mc15-20","mc13-5","mc11-3","mc9-1",NA,NA
"H1_Exp2.096","mc58-5","mc50-2","mc44-3","mc39-9","mc35-3","mc27-10","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-15","mc13-4","mc11-3","mc9-3",NA,NA
"H1_Exp2.097","mc58-5","mc50-2","mc44-3","mc39-9","mc35-4","mc27-8","mc32-7","mc25-13","mc23-7","mc20-13","mc21-12","mc15-15","mc13-4",NA,NA,NA,NA
"H1_Exp2.098","mc58-5","mc50-2","mc44-3","mc39-8","mc35-3","mc27-10","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-6","mc9-9","mc6-5","mc4-4"
"H1_Exp2.099","mc58-5","mc50-3","mc44-4","mc39-7","mc35-3","mc27-13","mc32-6","mc25-8","mc23-6","mc20-10","mc21-12","mc15-15","mc13-4",NA,NA,NA,NA
"H1_Exp2.100","mc58-5","mc50-3","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-14","mc15-12","mc13-7","mc11-1","mc9-4","mc6-7","mc4-5"
"H1_Exp2.101","mc58-5","mc50-2","mc44-4","mc39-9","mc35-4","mc27-8","mc32-7","mc25-9","mc23-2","mc20-10","mc21-13","mc15-15","mc13-4","mc11-3","mc9-3",NA,NA
"H1_Exp2.102","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-11","mc21-10","mc15-21","mc13-5","mc11-5","mc9-4","mc6-7",NA
"H1_Exp2.103","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-8"
"H1_Exp2.104","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-8","mc32-7","mc25-9","mc23-2","mc20-10","mc21-14","mc15-11","mc13-2","mc11-5",NA,NA,NA
"H1_Exp2.105","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-2","mc20-11","mc21-10","mc15-21","mc13-4","mc11-5","mc9-4","mc6-4",NA
"H1_Exp2.106","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-11","mc32-10","mc25-11","mc23-4","mc20-12","mc21-9","mc15-15",NA,NA,NA,NA,NA
"H1_Exp2.107","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-13","mc23-7","mc20-13","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp2.108","mc58-5","mc50-2","mc44-3","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-10","mc15-21","mc13-4","mc11-4",NA,NA,NA
"H1_Exp2.109","mc58-5","mc50-2","mc44-3","mc39-8","mc35-5","mc27-10","mc32-9","mc25-8","mc23-7","mc20-13","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp2.110","mc58-5","mc50-2","mc44-4","mc39-8","mc35-5","mc27-10","mc32-9","mc25-10","mc23-5","mc20-17","mc21-8","mc15-17","mc13-2",NA,NA,NA,NA
"H1_Exp2.111","mc58-5","mc50-2","mc44-3","mc39-9","mc35-2","mc27-9","mc32-11","mc25-14","mc23-7","mc20-13","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp2.112","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-13","mc23-7","mc20-13","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp2.113","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-14","mc13-4","mc11-3",NA,NA,NA
"H1_Exp2.114","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-9","mc23-2","mc20-13","mc21-12","mc15-11","mc13-2","mc11-3",NA,NA,NA
"H1_Exp2.115","mc58-5","mc50-2","mc44-4","mc39-8","mc35-5","mc27-10","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-17","mc13-2",NA,NA,NA,NA
"H1_Exp2.116","mc58-5","mc50-2","mc44-3","mc39-8","mc35-3","mc27-13","mc32-8","mc25-10","mc23-5","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.117","mc58-5","mc50-2","mc44-4","mc39-9","mc35-5","mc27-10","mc32-9","mc25-10","mc23-5","mc20-13","mc21-12","mc15-15","mc13-4","mc11-3",NA,NA,NA
"H1_Exp2.118","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-12","mc23-4","mc20-16","mc21-9","mc15-14","mc13-2","mc11-5","mc9-7","mc6-1",NA
"H1_Exp2.120","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-9","mc23-7","mc20-13","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp2.121","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-5","mc4-4"
"H1_Exp2.122","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-10","mc23-5","mc20-17","mc21-11","mc15-12","mc13-2","mc11-4","mc9-2",NA,NA
"H1_Exp2.123","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-7","mc23-3","mc20-9",NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.124","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-11","mc32-9","mc25-8","mc23-1","mc20-14","mc21-13","mc15-16","mc13-6","mc11-1","mc9-3","mc6-5","mc4-4"
"H1_Exp2.125","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-9","mc23-2","mc20-10","mc21-8","mc15-17","mc13-3",NA,NA,NA,NA
"H1_Exp2.126","mc58-5","mc50-2","mc44-4","mc39-9","mc35-1","mc27-12","mc32-11","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.127","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-20","mc13-5","mc11-7","mc9-1","mc6-9","mc4-2"
"H1_Exp2.128","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-14","mc13-4","mc11-3","mc9-4","mc6-3",NA
"H1_Exp2.129","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-12","mc13-1","mc11-2","mc9-4","mc6-7",NA
"H1_Exp2.130","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-8","mc32-7","mc25-9","mc23-2","mc20-13","mc21-12",NA,NA,NA,NA,NA,NA
